50 188
0 4 76.19
0 10 82.53
0 26 99.49
0 30 88.11
0 33 65.01
0 38 76.49
0 43 69.11
0 46 45.66
1 14 82.20
1 16 50.61
1 18 71.17
1 19 123.39
1 21 47.15
1 27 104.03
2 8 24.40
2 28 81.96
2 31 124.18
2 36 37.42
2 43 98.39
2 48 111.02
3 5 123.97
3 7 32.51
3 19 90.34
3 20 84.23
3 22 96.48
3 40 122.64
3 44 90.23
3 49 27.36
4 10 104.44
4 20 106.96
4 22 71.62
4 26 47.68
4 28 114.47
4 29 79.97
4 38 34.36
4 43 118.22
4 46 67.84
5 25 26.18
5 34 105.97
5 35 39.74
5 39 122.69
5 44 89.56
6 12 66.12
6 23 46.04
6 31 81.09
6 32 5.11
6 37 39.52
6 39 77.22
6 40 119.35
6 47 37.67
6 48 95.57
7 19 109.79
7 20 51.88
7 22 67.34
7 26 116.88
7 29 123.70
7 40 96.80
7 44 87.97
7 49 13.70
8 28 71.23
8 31 100.73
8 36 17.22
8 43 112.14
8 48 86.71
9 13 103.36
9 15 41.95
9 17 80.14
9 24 97.18
9 41 76.36
9 42 57.79
10 13 108.23
10 15 108.01
10 46 122.44
11 19 102.35
11 24 122.97
11 27 61.78
12 23 24.04
12 32 69.44
12 34 78.93
12 37 34.47
12 39 40.58
12 40 118.87
12 44 84.81
12 47 92.86
13 15 71.57
14 21 46.03
14 35 99.20
15 17 84.28
15 41 115.82
15 42 98.74
16 18 36.36
16 21 97.75
16 27 120.90
17 24 90.14
17 29 98.43
17 41 94.84
17 42 92.72
18 21 114.99
19 21 109.24
19 27 44.74
19 29 122.44
19 49 96.33
20 22 42.50
20 26 72.70
20 28 106.11
20 29 124.01
20 38 95.35
20 40 62.40
20 44 101.58
20 49 61.75
21 27 108.24
22 26 54.69
22 28 115.51
22 29 83.12
22 38 72.01
22 40 102.33
22 46 119.49
22 49 69.18
23 31 123.74
23 32 50.20
23 34 91.05
23 37 10.46
23 39 55.64
23 44 105.65
23 47 69.11
24 41 29.95
24 42 49.11
25 34 109.15
25 35 30.13
25 44 115.43
26 28 72.94
26 29 109.60
26 38 23.14
26 40 107.81
26 43 112.08
26 46 66.82
26 49 121.59
28 31 123.77
28 36 55.32
28 38 80.24
28 40 94.85
28 43 94.77
28 46 82.29
28 48 87.81
29 38 109.39
29 49 115.94
30 33 35.58
30 43 89.21
30 45 86.70
30 46 115.05
31 32 76.06
31 36 96.42
31 37 119.50
31 40 112.58
31 47 93.34
31 48 40.82
32 37 44.16
32 39 78.02
32 40 116.53
32 47 39.42
32 48 90.65
33 43 53.93
33 45 80.04
33 46 82.20
34 37 96.96
34 39 109.72
35 44 122.95
36 40 124.22
36 43 109.50
36 46 121.03
36 48 76.03
37 39 64.44
37 44 115.46
37 47 59.10
38 43 96.44
38 46 47.64
39 40 80.39
39 44 53.50
39 47 112.74
39 48 114.04
40 44 83.84
40 48 76.95
40 49 110.18
41 42 20.87
43 45 89.94
43 46 50.57
44 49 98.80
47 48 119.77
